#old name	new name
15 days old calf	cow
21 day-old broiler chicken	chicken
27 wk broiler breeder chicken	chicken
28 day old broiler chicken	chicken
34 day-old broiler chicken	chicken
35 day-old broiler chicken	chicken
36 day-old broiler chicken	chicken
37 day-old broiler chicken	chicken
38 day-old broiler chicken	chicken
38-day-old broiler chicken	chicken
3 years old cow	cow
41 day-old broiler chicken	chicken
41-day-old broiler chicken	chicken
43 day-old broiler chicken	chicken
4 years old cow	cow
56 day-old broiler chicken	chicken
61 day-old broiler chicken	chicken
6 days old calf	cow
9 days old calf	cow
Abelmoshus esculentus	Abelmoschus esculentus
acid lime	lime
affinis	common carp
African grey	grey parrot
Albelmochus esculentus	Abelmoschus esculentus
Albelmoschus esculentus	Abelmoschus esculentus
allogynogenetic crucian carp	crucian carp
allogynogenetic gibel carp	gibel carp
Althea rosea	Althaea rosea
ameoba	Amoeba
anopheline sp	Anopheles
antelope	Cetartiodactyla
anti-D-immunoglobulin	
Arabian horse	horse
Araucana chicken	chicken
arrow leaf (Sida rhombiforlia, Malvaceae); weed	Sida rhombifolia
Ashy-headed sheldgoose	goose
asymptomatic common carp	common carp
avian	birds
banane argente	
Bandicote indica	Bandicota indica
bat	bats
bat BF_258I	bats
bat BF_506I	bats
beef cow	cow
bhendi	kacang bendi
bing cherry	Prunus avium
bird	birds
blackberry	European blackberry
blackgram	black gram
black sea turtle	sea turtles
blood orange	sweet orange
blueberry	bog blueberry
blue fox	Canidae
blue fronted Amazon	blue-fronted amazon
bottlenose dolphin	marine dolphins
breeder hens	chicken
brent-goose	goose
broiler	chicken
broiler chicken	chicken
Broiler chicken	chicken
buffalo	Bubalus
bullace plum	plum
bush viper, ATCC-VR-1409	vipers
calf	cow
canine	Canidae
canine (dog)	Canidae
canine: female German Shepherd	Canidae
canine, female Labrador Retriever	Canidae
canine: female Labrador Retriever	Canidae
canine; German Shepherd	Canidae
canine: German Shepherd	Canidae
canine; German Shepherd, 2 year	Canidae
canine; Labrador	Canidae
canine; Labrador, 3 month	Canidae
canine, male German Shepherd	Canidae
canine: male German Shepherd	Canidae
canine; mongrel	Canidae
canine; non-descript breed	Canidae
Chamomilla recutita, cultivar Bona	Matricaria chamomilla
cherry	Prunus avium
cherry cultivar Bing	Prunus avium
cherry duck	birds
cherry tree cultivar Imperiale displaying symptoms of cherry chlorotic rusty spot disease	Prunus avium
chilli	chilli pepper
Chinese bulbul	bulbuls
Chinese mitten-handed crab	Chinese mitten crab
chronic fatigue syndrome patient	human
civet	civets
clementine cv. Comune	Citrus clementina
clementine cv. Late	Citrus clementina
clementine cv. Nules	Citrus clementina
Columbia livia (Feral pigeon)	pigeons
Columbia livia (pigeon)	pigeons
commercial broiler	chicken
commercial broilers	chicken
cricket	crickets
culicine sp	mosquitos
cultivated blackberry	European blackberry
Curare enamo, ITC559	
dairy cow	cow
Denrocalamus bannaenensis	Dendrocalamus
Digera arvensis	
dolphin	marine dolphins
domestic dog	dog
domestic mink	European mink
Double Impatiens	Impatiens
duckling	birds
etrog citron	citron
European badger (Meles meles)	Eurasian badger
European wild boar (Sus scrofa)	pig
experimentally-infected Ficus carica	Ficus carica
false pimpernel (Lindernia procumbens, Scrophulariaceae); weed	Lindernia procumbens
farmed koi	common carp
farmed white sturgeon	sturgeon
feline	cat
female Mandarin duck	birds
feral pig	pig
Feral pigeon	pigeons
Feutrell's Early mandarin	mandarin orange
fig	common fig
Foster Pink grapefruit	Vitis vinifera
Foulah 2	
fox	Canidae
game chickens	chicken
Genova lemon	lemon
German dog	dog
German ferret	ferret
GF-305 peach	peach
GF-305 peach seedlings	peach
ghost carp	common carp
gilthead sea bream	gilthead bream
glaucus-gull	glaucous gull
Golden Orf	orfe
Gonosoma oxycephala	Gonyosoma oxycephalum
grape cultivar 6-23	Vitis vinifera
grape cultivar 8612	Vitis vinifera
grape cultivar 87-1	Vitis vinifera
grape cultivar Atebage	Vitis vinifera
grape cultivar Augusta	Vitis vinifera
grape cultivar Benifuji	Vitis vinifera
grape cultivar Cabernet Gernischet	Vitis vinifera
grape cultivar Cabernet Sauvignon	Vitis vinifera
grape cultivar Cow's Nipple	Vitis vinifera
grape cultivar Dragon's Eye	Vitis vinifera
grape cultivar Exotic	Vitis vinifera
grape cultivar Fenghuang 57	Vitis vinifera
grape cultivar Fenghuang No.12	Vitis vinifera
grape cultivar Fenghuang No.4	Vitis vinifera
grape cultivar Fujiminori	Vitis vinifera
grape cultivar Gamay	Vitis vinifera
grape cultivar Gongnian No.1	Vitis vinifera
grape cultivar Himrod Seedless	Vitis vinifera
grape cultivar Hongjixin	Vitis vinifera
grape cultivar Izunishiki	Vitis vinifera
grape cultivar Jinxiu	Vitis vinifera
grape cultivar Kyoho	Vitis vinifera
grape cultivar Manicure Finger	Vitis vinifera
grape cultivar Merlot	Vitis vinifera
grape cultivar Moldova	Vitis vinifera
grape cultivar Muscat	Vitis vinifera
grape cultivar Muscat x Alicanfe Bouschet	Vitis vinifera
grape cultivar OlympiaxFredoniar	Vitis vinifera
grape cultivar Pinot Gris	Vitis vinifera
grape cultivar Red Glob	Vitis vinifera
grape cultivar Red Globe	Vitis vinifera
grape cultivar Red Italy	Vitis vinifera
grape cultivar Rizamat	Vitis vinifera
